TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-30604,DIFLUBENZURON,"N-[(4-chlorophenyl)carbamoyl]-2,6-difluorobenzamide",37123,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,QQQYTWIFVNKMRW-UHFFFAOYSA-N,0
TOX-30719,,"2-methyl-3,5-dinitroaniline",37182,Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],IEEJAAUSLQCGJH-UHFFFAOYSA-N,1
TOX-30807,,2-bromo-2-(bromomethyl)pentanedinitrile,61948,N#CCCC(Br)(C#N)CBr,DHVLDKHFGIVEIP-UHFFFAOYSA-N,0
TOX-31274,,"3-bromo-2,2-bis(bromomethyl)propan-1-ol",15206,OCC(CBr)(CBr)CBr,QEJPOEGPNIVDMK-UHFFFAOYSA-N,1
TOX-31323,,"bis(2,3-dibromopropyl) hydrogen phosphate",91543,O=P(O)(OCC(Br)CBr)OCC(Br)CBr,CBPKIOGAUWKEFT-UHFFFAOYSA-N,1
TOX-31355,budralazine,N-[(Z)-4-methylpent-3-en-2-ylideneamino]phthalazin-1-amine,5353453,CC(C)=C/C(C)=N/Nc1nncc2ccccc12,DQGFCLJXYFXXIJ-WJDWOHSUSA-N,1
TOX-31438,Cyperquat,1-methyl-4-phenylpyridin-1-ium,39484,C[n+]1ccc(-c2ccccc2)cc1,FMGYKKMPNATWHP-UHFFFAOYSA-N,0
TOX-31595,TETRAETHYLENEPENTAMINE,"N'-[2-[2-(2-aminoethylamino)ethylamino]ethyl]ethane-1,2-diamine",8197,NCCNCCNCCNCCN,FAGUFWYHJQFNRV-UHFFFAOYSA-N,1
TOX-31861,Laurifoline,"2,10-dimethoxy-6,6-dimethyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinolin-6-ium-1,9-diol",37834,COc1cc2c(cc1O)CC1c3c(cc(OC)c(O)c3-2)CC[N+]1(C)C,ZDVDVLRYVOZWMP-UHFFFAOYSA-O,0
TOX-32028,Climbazole,"1-(4-chlorophenoxy)-1-imidazol-1-yl-3,3-dimethylbutan-2-one",37907,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,OWEGWHBOCFMBLP-UHFFFAOYSA-N,0
TOX-32224,Ethylnitrosocyanamide,ethyl(nitroso)cyanamide,93203,CCN(C#N)N=O,LMIMSGCBKHFTDY-UHFFFAOYSA-N,1
TOX-32312,,3-(5-nitrofuran-2-yl)prop-2-enoic acid,22680,O=C(O)C=Cc1ccc([N+](=O)[O-])o1,LWOWNIPZHGWKNR-UHFFFAOYSA-N,1
TOX-32347,dl-Carbidopa,"3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid",2563,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,TZFNLOMSOLWIDK-UHFFFAOYSA-N,1
TOX-32520,,"4-methoxybenzene-1,3-diamine",11976,COc1ccc(N)cc1N,BAHPQISAXRFLCL-UHFFFAOYSA-N,1
TOX-32596,Fenpropathrin,"[cyano-(3-phenoxyphenyl)methyl] 2,2,3,3-tetramethylcyclopropane-1-carboxylate",47326,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,XQUXKZZNEFRCAW-UHFFFAOYSA-N,0
TOX-32922,,"2-[bis(2-chloroethyl)amino]-2-oxo-1,3,2lambda5-oxazaphosphinan-4-ol",99735,O=P1(N(CCCl)CCCl)NC(O)CCO1,RANONBLIHMVXAJ-UHFFFAOYSA-N,1
TOX-33680,,"2-(1-ethyl-8-methyl-4,9-dihydro-3H-pyrano[3,4-b]indol-1-yl)acetic acid",12272838,CCC1(CC(=O)O)OCCc2c1[nH]c1c(C)cccc21,MXFIBWNLCQBCCN-UHFFFAOYSA-N,0
TOX-33681,,2-(7-ethyl-1H-indol-3-yl)ethanol,198231,CCc1cccc2c(CCO)c[nH]c12,UVSDNCAZVSQJQA-UHFFFAOYSA-N,0
TOX-33812,Fenofibric acid,2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoic acid,64929,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,MQOBSOSZFYZQOK-UHFFFAOYSA-N,0
TOX-34066,Isazofos,"(5-chloro-1-propan-2-yl-1,2,4-triazol-3-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane",39223,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,XRHGWAGWAHHFLF-UHFFFAOYSA-N,1
TOX-34078,BIFENOX,"methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate",39230,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],SUSRORUBZHMPCO-UHFFFAOYSA-N,1
TOX-34081,,"1-nitrosoimidazolidine-2,4-dione",93239,O=NN1CC(=O)NC1=O,UIDGJTUNLMQGLT-UHFFFAOYSA-N,1
TOX-34604,,"2-[[2-(2,4-dichlorophenoxy)acetyl]amino]propanoic acid",39753,CC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O,SHQGIYUBFHJOPP-UHFFFAOYSA-N,0
TOX-34637,Napqi,"N-(4-oxocyclohexa-2,5-dien-1-ylidene)acetamide",39763,CC(=O)N=C1C=CC(=O)C=C1,URNSECGXFRDEDC-UHFFFAOYSA-N,0
TOX-34697,,N-[2-[ethoxy(methyl)phosphoryl]sulfanylethyl]-N-propan-2-ylpropan-2-amine,39793,CCOP(C)(=O)SCCN(C(C)C)C(C)C,JJIUCEJQJXNMHV-UHFFFAOYSA-N,0
TOX-34875,,2-methyl-5-nitroaniline,7444,Cc1ccc([N+](=O)[O-])cc1N,DSBIJCMXAIKKKI-UHFFFAOYSA-N,1
TOX-35040,Sonatox,"2,2,5,6-tetrachloro-1,7,7-tris(chloromethyl)bicyclo[2.2.1]heptane",40126,ClCC1(CCl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,IPVMCZLCKVSKGC-UHFFFAOYSA-N,0
TOX-35046,,"2,5-dimethylaniline",7259,Cc1ccc(C)c(N)c1,VOWZNBNDMFLQGM-UHFFFAOYSA-N,1
TOX-35062,ISOPRENE,"2-methylbuta-1,3-diene",6557,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,0
TOX-35367,cypermethrin,"[cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",2912,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,KAATUXNTWXVJKI-UHFFFAOYSA-N,0
TOX-35545,Carubicin,"9-acetyl-7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-4,6,9,11-tetrahydroxy-8,10-dihydro-7H-tetracene-5,12-dione",430461,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O,XREUEWVEMYWFFA-UHFFFAOYSA-N,1
TOX-35565,,"[cyano-(3-phenoxyphenyl)methyl] 3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",2982,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,OWZREIFADZCYQD-UHFFFAOYSA-N,0
TOX-36138,Diisopropanolnitrosamine,"N,N-bis(2-hydroxypropyl)nitrous amide",40828,CC(O)CN(CC(C)O)N=O,MNIGYIKCFSPQRJ-UHFFFAOYSA-N,1
TOX-36484,Mabuterol,1-[4-amino-3-chloro-5-(trifluoromethyl)phenyl]-2-(tert-butylamino)ethanol,3995,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,JSJCTEKTBOKRST-UHFFFAOYSA-N,0
TOX-36629,Propiverine,"(1-methylpiperidin-4-yl) 2,2-diphenyl-2-propoxyacetate",4942,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,QPCVHQBVMYCJOM-UHFFFAOYSA-N,0
TOX-36708,L-Chlorozotocin,"1-(2-chloroethyl)-1-nitroso-3-(3,4,5,6-tetrahydroxy-1-oxohexan-2-yl)urea",301389,O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,MKQWTWSXVILIKJ-UHFFFAOYSA-N,1
TOX-36735,,"5,11-dimethyl-6H-pyrido[4,3-b]carbazol-9-amine",99172,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(N)cc12,PCLRPEZTOOYTNQ-UHFFFAOYSA-N,1
TOX-36777,,"4-(4-amino-3,5-dimethylphenyl)-2,6-dimethylaniline",41206,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,UAIUNKRWKOVEES-UHFFFAOYSA-N,0
TOX-37008,,"2,4,18-trihydroxy-15-(3-hydroxy-3-methylbutyl)-7,9,13-trioxapentacyclo[10.8.0.03,10.04,8.014,19]icosa-1,3(10),5,11,14,16,18-heptaen-20-one",5950380,CC(C)(O)CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41O,VXTQFTUOAJRUDO-UHFFFAOYSA-N,1
TOX-37052,,5-(2-hydroxyethylamino)-2-methylphenol,134396,Cc1ccc(NCCO)cc1O,YGRFRBUGAPOJDU-UHFFFAOYSA-N,0
TOX-37295,NIMUSTINE,3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-1-(2-chloroethyl)-1-nitrosourea,39214,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,VFEDRRNHLBGPNN-UHFFFAOYSA-N,1
TOX-37368,,2-piperidin-1-ylethyl N-(2-heptoxyphenyl)carbamate,41611,CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,VQRKVYYIQBNKGQ-UHFFFAOYSA-N,0
TOX-37399,,diphenyl (4-propan-2-ylphenyl) phosphate,91908,CC(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,JUHFQCKQQLMGAB-UHFFFAOYSA-N,0
TOX-37667,Toxin PR,"(3'-formyl-3,3',3a-trimethyl-6-oxospiro[2,3,4,7b-tetrahydro-1aH-naphtho[1,2-b]oxirene-5,2'-oxirane]-2-yl) acetate",624035,CC(=O)OC1C2OC2C2=CC(=O)C3(CC2(C)C1C)OC3(C)C=O,GSPFUBNBRPVALJ-UHFFFAOYSA-N,1
TOX-37687,Zoliprofen,"2-[4-(1,3-thiazol-2-yloxy)phenyl]propanoic acid",68758,CC(C(=O)O)c1ccc(Oc2nccs2)cc1,RXZTWBVFHQLTBU-UHFFFAOYSA-N,0
TOX-37721,Pildralazine,1-[(6-hydrazinylpyridazin-3-yl)-methylamino]propan-2-ol,68829,CC(O)CN(C)c1ccc(NN)nn1,KYIAWOXNPBANEW-UHFFFAOYSA-N,1
TOX-37849,Butoxyacetic acid,2-butoxyacetic acid,41958,CCCCOCC(=O)O,AJQOASGWDCBKCJ-UHFFFAOYSA-N,0
TOX-37947,,[methyl(nitroso)amino]methyl acetate,42016,CC(=O)OCN(C)N=O,WBXQXRXMGCOVHA-UHFFFAOYSA-N,1
TOX-38094,,1-[5-amino-2-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl]ethanone,148785,CC(=O)c1cc(N)ccc1OCC(O)CNC(C)(C)C,NDSFAFIRRXLJNE-UHFFFAOYSA-N,0
TOX-38095,,[3-acetyl-4-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl]urea,148787,CC(=O)c1cc(NC(N)=O)ccc1OCC(O)CNC(C)(C)C,JEQPRXXJGYCINZ-UHFFFAOYSA-N,1
TOX-38108,,[butyl(nitroso)amino]methyl acetate,42095,CCCCN(COC(C)=O)N=O,YMUAXKYTHNCMAS-UHFFFAOYSA-N,1
TOX-38413,celiprolol,"3-[3-acetyl-4-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl]-1,1-diethylurea",2663,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,JOATXPAWOHTVSZ-UHFFFAOYSA-N,0
TOX-38414,,1-[3-acetyl-4-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl]-3-ethylurea,148806,CCNC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,ISAGWVHNBWLXLM-UHFFFAOYSA-N,0
TOX-38415,,1-[3-acetyl-4-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl]-3-tert-butylurea,21122811,CC(=O)c1cc(NC(=O)NC(C)(C)C)ccc1OCC(O)CNC(C)(C)C,HJFOOUMUEFZBDQ-UHFFFAOYSA-N,0
TOX-38759,,"4-methylbenzene-1,2-diamine",10332,Cc1ccc(N)c(N)c1,DGRGLKZMKWPMOH-UHFFFAOYSA-N,1
TOX-39046,ISOBUTYLAMINE,2-methylpropan-1-amine,6558,CC(C)CN,KDSNLYIMUZNERS-UHFFFAOYSA-N,0
TOX-39260,,"9-acetyl-7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-8,10-dihydro-7H-tetracene-5,12-dione",3685,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,XDXDZDZNSLXDNA-UHFFFAOYSA-N,1
TOX-39599,Bufuralol,2-(tert-butylamino)-1-(7-ethyl-1-benzofuran-2-yl)ethanol,71733,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,SSEBTPPFLLCUMN-UHFFFAOYSA-N,0
TOX-39600,Triglycidyl isocyanurate,"1,3,5-tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione",17142,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,OUPZKGBUJRBPGC-UHFFFAOYSA-N,1
TOX-39626,,"1-ethylpiperazine-2,3-dione",108812,CCN1CCNC(=O)C1=O,ZBEKOEYCWKIMGU-UHFFFAOYSA-N,0
TOX-39922,Carboxymethylnitrosourea,2-[carbamoyl(nitroso)amino]acetic acid,43256,NC(=O)N(CC(=O)O)N=O,JWFMCQPAQYKFDP-UHFFFAOYSA-N,0
TOX-39933,,1-[2-acetyloxypropyl(nitroso)amino]propan-2-yl acetate,91675,CC(=O)OC(C)CN(CC(C)OC(C)=O)N=O,VGURJTTWZISZJM-UHFFFAOYSA-N,1
TOX-39956,aklavin,"methyl 4-[4-(dimethylamino)-5-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-2,5,7-trihydroxy-6,11-dioxo-3,4-dihydro-1H-tetracene-1-carboxylate",2074,CCC1(O)CC(OC2CC(N(C)C)C(O)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,LJZPVWKMAYDYAS-UHFFFAOYSA-N,1
TOX-40061,,"N,N-bis(2-oxopropyl)nitrous amide",43371,CC(=O)CN(CC(C)=O)N=O,AKRYBBWYDSDZHG-UHFFFAOYSA-N,1
TOX-40185,Elmustine,1-(2-chloroethyl)-3-(2-hydroxyethyl)-1-nitrosourea,68804,O=NN(CCCl)C(=O)NCCO,YJZJEQBSODVMTH-UHFFFAOYSA-N,1
TOX-40548,carmofur,"5-fluoro-N-hexyl-2,4-dioxopyrimidine-1-carboxamide",2577,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,AOCCBINRVIKJHY-UHFFFAOYSA-N,0
TOX-40587,(+/-)-Pirmenol,"4-(2,6-dimethylpiperidin-1-yl)-1-phenyl-1-pyridin-2-ylbutan-1-ol",4853,CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,APUDBKTWDCXQJA-UHFFFAOYSA-N,0
TOX-40730,O-TERPHENYL,"1,2-diphenylbenzene",6766,c1ccc(-c2ccccc2-c2ccccc2)cc1,OIAQMFOKAXHPNH-UHFFFAOYSA-N,0
TOX-41098,,"1,4-dimethyl-5H-pyrido[4,3-b]indol-3-amine",5284474,Cc1c(N)nc(C)c2c1[nH]c1ccccc12,LVTKHGUGBGNBPL-UHFFFAOYSA-N,1
TOX-41440,,N-methyl-N-nitrosobenzamide,44486,CN(N=O)C(=O)c1ccccc1,SLTNUKIKMOOUID-UHFFFAOYSA-N,1
TOX-41480,,4-amino-3-methylbenzenesulfonic acid,7384,Cc1cc(S(=O)(=O)O)ccc1N,WQTCZINVPXJNEL-UHFFFAOYSA-N,0
TOX-41711,Collinemycin,"methyl 4-[5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-4-(dimethylamino)-6-methyloxan-2-yl]oxy-2-ethyl-2,5,7,10-tetrahydroxy-6,11-dioxo-3,4-dihydro-1H-tetracene-1-carboxylate",99990,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,PXKJRTZJMGPOGS-UHFFFAOYSA-N,1
TOX-41747,,9H-carbazol-2-amine,44619,Nc1ccc2c(c1)[nH]c1ccccc12,IGLKULAEHPBIJL-UHFFFAOYSA-N,1
TOX-41748,,9H-carbazol-3-amine,44621,Nc1ccc2[nH]c3ccccc3c2c1,LRSYZHFYNDZXMU-UHFFFAOYSA-N,1
TOX-41839,Butyl methanesulfonate,butyl methanesulfonate,15953,CCCCOS(C)(=O)=O,LFLBHTZRLVHUQC-UHFFFAOYSA-N,1
TOX-41887,,9-methylcarbazol-3-amine,44666,Cn1c2ccccc2c2cc(N)ccc21,AIMXMLCYGWOKDI-UHFFFAOYSA-N,1
TOX-42718,,"7-(4-amino-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",430021,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1,ITSGNOIFAJAQHJ-UHFFFAOYSA-N,1
TOX-43338,,10-methylacridin-10-ium-3-amine,31633,C[n+]1c2ccccc2cc2ccc(N)cc21,NJLGSVSVNHBQEG-UHFFFAOYSA-O,1
TOX-43339,,10-methylacridin-10-ium-9-amine,21998,C[n+]1c2ccccc2c(N)c2ccccc21,SQFZLHHJWJODCA-UHFFFAOYSA-O,1
TOX-43609,Phantolide,"1-(1,1,2,3,3,6-hexamethyl-2H-inden-5-yl)ethanone",47167,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,VDBHOHJWUDKDRW-UHFFFAOYSA-N,0
TOX-43698,,N-methyl-N-(4-oxo-4-pyridin-3-ylbutyl)nitrous amide,47289,CN(CCCC(=O)c1cccnc1)N=O,FLAQQSHRLBFIEZ-UHFFFAOYSA-N,1
TOX-43781,Oltipraz,4-methyl-5-pyrazin-2-yldithiole-3-thione,47318,Cc1c(-c2cnccn2)ssc1=S,CKNAQFVBEHDJQV-UHFFFAOYSA-N,0
TOX-44156,Lobenzarit,2-(2-carboxyanilino)-4-chlorobenzoic acid,3946,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,UGDPYGKWIHHBMB-UHFFFAOYSA-N,0
TOX-44175,Salicylazobenzoic acid,5-[(4-carboxyphenyl)diazenyl]-2-hydroxybenzoic acid,127824,O=C(O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,JNVGBRQYZHTBTP-UHFFFAOYSA-N,0
TOX-44403,,2-[[2-chloroethyl(nitroso)carbamoyl]amino]acetamide,100739,NC(=O)CNC(=O)N(CCCl)N=O,BESOTRXDCHQLBP-UHFFFAOYSA-N,1
TOX-44787,,"2-methoxybenzene-1,4-diamine",21379,COc1cc(N)ccc1N,HGUYBLVGLMAUFF-UHFFFAOYSA-N,1
TOX-46580,,benzyl-dimethyl-tetradecylazanium,8756,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,WNBGYVXHFTYOBY-UHFFFAOYSA-N,0
TOX-46587,DODECYLBENZENE,dodecylbenzene,31237,CCCCCCCCCCCCc1ccccc1,KWKXNDCHNDYVRT-UHFFFAOYSA-N,0
TOX-46823,Traseolide,"1-(1,1,2,6-tetramethyl-3-propan-2-yl-2,3-dihydroinden-5-yl)ethanone",91696,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,IMRYETFJNLKUHK-UHFFFAOYSA-N,0
TOX-46843,M-XYLENE,"1,3-xylene",7929,Cc1cccc(C)c1,IVSZLXZYQVIEFR-UHFFFAOYSA-N,0
TOX-46846,Carbizocaine,1-(diethylamino)propan-2-yl N-(2-heptoxyphenyl)carbamate,50266,CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC,PYSAVFUPLJMDHW-UHFFFAOYSA-N,0
TOX-47406,,2-[(5-nitrofuran-2-yl)methylidene]propanedinitrile,50578,N#CC(C#N)=Cc1ccc([N+](=O)[O-])o1,JVBPKACNQGCPNB-UHFFFAOYSA-N,1
TOX-47493,,N-methyl-N-pyridin-3-ylnitrous amide,125780,CN(N=O)c1cccnc1,GOPFSGIKKZFUJK-UHFFFAOYSA-N,0
TOX-47677,,"5-hydroxy-2-[5-hydroxy-4-methoxy-2-(3-methyl-7-oxo-5,10-diazatetracyclo[7.4.0.01,12.02,6]trideca-2(6),3,8-triene-10-carbonyl)-7,8-dihydro-3H-pyrrolo[3,2-e]indole-6-carbonyl]-4-methoxy-7,8-dihydro-3H-pyrrolo[3,2-e]indole-6-carboxamide",73240,COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O,UOWVMDUEMSNCAV-UHFFFAOYSA-N,0
TOX-47778,,4-(dimethylaminodiazenyl)benzoic acid,23606,CN(C)N=Nc1ccc(C(=O)O)cc1,GUAZPUYTLMUTMA-UHFFFAOYSA-N,0
TOX-48178,,2-(naphthalen-2-ylamino)acetohydrazide,51134,NNC(=O)CNc1ccc2ccccc2c1,IFOZONXHXWJEQA-UHFFFAOYSA-N,0
TOX-48475,,"oxiran-2-ylmethyl 7,7-dimethyloctanoate",92382,CC(C)(C)CCCCCC(=O)OCC1CO1,FIWHJQPAGLNURC-UHFFFAOYSA-N,1
TOX-48612,Chlorfluazuron,"N-[[3,5-dichloro-4-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenyl]carbamoyl]-2,6-difluorobenzamide",91708,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,UISUNVFOGSJSKD-UHFFFAOYSA-N,0
TOX-49196,,2-ethylhexyl hydrogen sulfate,31364,CCCCC(CC)COS(=O)(=O)O,MHGOKSLTIUHUBF-UHFFFAOYSA-N,0
TOX-49359,Spizofurone,"5-acetylspiro[1-benzofuran-2,1'-cyclopropane]-3-one",71755,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,SETMGIIITGNLAS-UHFFFAOYSA-N,0
TOX-49604,,"4-[(3,4,5-trihydroxyoxan-2-yl)amino]benzoic acid",228105,O=C(O)c1ccc(NC2OCC(O)C(O)C2O)cc1,HLDUHCYBUVVDOT-UHFFFAOYSA-N,0
TOX-50637,,"1,4-oxathiane",27596,C1CSCCO1,JBYHSSAVUBIJMK-UHFFFAOYSA-N,0
TOX-50983,,"3-nitroso-1,3-thiazolidine",52687,O=NN1CCSC1,PROHBUGJUQHONA-UHFFFAOYSA-N,1
TOX-51154,Denzimol,2-imidazol-1-yl-1-[4-(2-phenylethyl)phenyl]ethanol,53626,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,IAWIJHCUEPVIOO-UHFFFAOYSA-N,0
TOX-51410,Dipentylamine,N-pentylpentan-1-amine,16316,CCCCCNCCCCC,JACMPVXHEARCBO-UHFFFAOYSA-N,0
TOX-52095,,2-[(2-methyl-2-methylsulfanylpropanoyl)amino]-3-sulfanylpropanoic acid,10444175,CSC(C)(C)C(=O)NC(CS)C(=O)O,MDZVGRUIIJLSTI-UHFFFAOYSA-N,0
TOX-52150,Bimolane,"1-(morpholin-4-ylmethyl)-4-[2-[4-(morpholin-4-ylmethyl)-3,5-dioxopiperazin-1-yl]ethyl]piperazine-2,6-dione",100708,O=C1CN(CCN2CC(=O)N(CN3CCOCC3)C(=O)C2)CC(=O)N1CN1CCOCC1,JGQGCJKPBAYEHO-UHFFFAOYSA-N,1
TOX-52389,Chloracetophon,"(2,2,2-trichloro-1-dimethoxyphosphorylethyl) 2-chloroacetate",53149,COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,AHAAWQBSARNIMQ-UHFFFAOYSA-N,0
TOX-52697,,"1-(4,5,10-trihydroxyanthracen-9-yl)propan-1-one",21120717,CCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12,CDLWDALUMQQESW-UHFFFAOYSA-N,1
TOX-52698,,"1-(4,5,10-trihydroxyanthracen-9-yl)butan-1-one",54440883,CCCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12,WNZTVJPZHIBPMT-UHFFFAOYSA-N,1
TOX-52715,,7-[[2-(2-amino-2-carboxyethyl)sulfanylacetyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,2627,COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,JSDXOWVAHXDYCU-UHFFFAOYSA-N,0
TOX-52969,,"1-[(Z)-(5-nitrofuran-2-yl)methylideneamino]-1,3-diazinan-2-one",6437834,O=C1NCCCN1/N=C/c1ccc([N+](=O)[O-])o1,NITMRIAAAKECLS-WDZFZDKYSA-N,1
TOX-53100,,(2-carboxyethylamino)-trimethylazanium,123869,C[N+](C)(C)NCCC(=O)O,PVBQYTCFVWZSJK-UHFFFAOYSA-O,0
TOX-53660,Nefiracetam,"N-(2,6-dimethylphenyl)-2-(2-oxopyrrolidin-1-yl)acetamide",71157,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,NGHTXZCKLWZPGK-UHFFFAOYSA-N,0
TOX-53829,,4-chloro-3-(dichloromethyl)-2-hydroxy-2H-furan-5-one,53665,O=C1OC(O)C(C(Cl)Cl)=C1Cl,WNTRMRXAGJOLCU-UHFFFAOYSA-N,1
TOX-55040,mofezolac,"2-[3,4-bis(4-methoxyphenyl)-1,2-oxazol-5-yl]acetic acid",4237,COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1,DJEIHHYCDCTAAH-UHFFFAOYSA-N,0
TOX-55188,Nicaraven,N-[2-(pyridine-3-carbonylamino)propyl]pyridine-3-carboxamide,71234,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,KTXBOOWDLPUROC-UHFFFAOYSA-N,0
TOX-55803,,"(5-methyl-2-oxo-1,3-dioxol-4-yl)methyl 6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",3900,Cc1oc(=O)oc1COC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,ZKUKMWMSYCIYRD-UHFFFAOYSA-N,0
TOX-55864,,"2-(2-hydroxyphenyl)-3-(3-sulfanylpropanoyl)-1,3-thiazolidine-4-carboxylic acid",122113,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,BSHDUMDXSRLRBI-UHFFFAOYSA-N,0
